kota_administrasi,kecamatan,kelurahan,rw,tahun,bulan,lama_genangan,tanggal_kejadian,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,ketinggian_air,jumlah_meninggal
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara, 005,2016,10,20,"04, 05",0,0,0,30 - 40 ,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,  005,2016,10,10,23,0,0,0,10 - 40 ,0
Jakarta Selatan,Mampang Prapatan,Bangka,"001, 002, 003, 004, 005",2016,10,40,"04, 05, 23",0,0,0,80,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,"004, 007",2016,10,20,"04, 05",0,0,0,20 - 40 ,0
Jakarta Selatan,Pancoran,Kalibata,"005, 008, 009",2016,10,40,"04, 05, 10, 11",0,0,0,50,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"001, 003",2016,10,20,"10, 11",0,0,0,20 - 40 ,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"005, 006, 007, 008",2016,10,10,11,0,0,0,10 - 90 ,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011",2016,10,10,11,0,0,0,10 - 20 ,0
Jakarta Timur,Jatinegara,Bidara Cina,"007, 011",2016,10,10,11,0,0,0,20,0
Jakarta Timur,Jatinegara,Kampung Melayu,"004, 005, 007, 008",2016,10,20,"11, 20",0,0,0,50 - 100 ,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 005, 008",2016,10,10,11,0,0,0,30 - 100 ,0
Jakarta Timur,Kramat Jati,Cililitan,"006, 007",2016,10,10,11,0,0,0,50 - 90 ,0
Jakarta Barat,Cengkareng,Rawa Buaya,"RW 01, 02, 04",2017,3,0,23 - 24,0,0,0,30 - 50,0
Jakarta Barat,Kali Deres,Semanan,RW 06,2017,3,0,28,0,0,0,10 - 20,0
Jakarta Barat,Kebon Jeruk,Kebon Jeruk,RW 01,2017,3,0,3,0,0,0,20 - 120,0
Jakarta Barat,Kembangan,Kembangan Utara,RW 01,2017,3,0,4,0,0,0,5 - 10,0
Jakarta Pusat,Kemayoran,Kebon Kosong,RW 05,2017,3,0,28,0,0,0,5 - 10,0
Jakarta Selatan,Cilandak,Cilandak Barat,RW 02,2017,3,0,1 - 3,0,0,0,100,0
Jakarta Selatan,Cilandak,Pondok Labu,"RW 01, 03, 07, 09, 010",2017,3,0,1 - 8,0,0,0,140 - 160,0
